id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length
1,CO,269,SFO,IAH,3,15,205
2,US,1558,PHX,CLT,3,15,222
3,AA,2400,LAX,DFW,3,20,165
4,AA,2466,SFO,DFW,3,20,195
5,AS,108,ANC,SEA,3,30,202
6,CO,1094,LAX,IAH,3,30,181
7,DL,1768,LAX,MSP,3,30,220
8,DL,2722,PHX,DTW,3,30,228
9,DL,2606,SFO,MSP,3,35,216
10,AA,2538,LAS,ORD,3,40,200
11,CO,223,ANC,SEA,3,49,201
12,DL,1646,PHX,ATL,3,50,212
13,DL,2055,SLC,ATL,3,50,210
14,AA,2408,LAX,DFW,3,55,170
15,AS,132,ANC,PDX,3,55,215
16,US,498,DEN,CLT,3,55,179
17,B6,98,DEN,JFK,3,59,213
18,CO,1496,LAS,IAH,3,60,162
19,DL,1450,LAS,MSP,3,60,181
20,CO,507,ONT,IAH,3,75,167
21,AS,128,FAI,SEA,3,80,206
22,DL,2223,ANC,SLC,3,85,270
23,AS,112,ANC,SEA,3,90,200
24,HA,17,LAS,HNL,3,100,380
25,US,122,ANC,PHX,3,113,327
26,AS,114,ANC,SEA,3,150,200
27,B6,766,BQN,MCO,3,240,169
28,B6,768,PSE,MCO,3,262,180
29,HA,206,HNL,OGG,3,300,36
30,OO,4746,BIS,MSP,3,300,85
31,OO,6466,IYK,LAX,3,300,53
32,US,1011,EWR,CLT,3,300,111
33,US,1983,BOS,CLT,3,300,135
34,HA,108,HNL,KOA,3,302,41
35,OO,6900,MKE,ORD,3,302,44
36,9E,3975,GFK,MSP,3,305,68
37,HA,102,HNL,ITO,3,305,49
38,OO,4829,OMA,MSP,3,305,75
39,OH,6338,GSO,ATL,3,315,93
40,OO,6505,LMT,SFO,3,315,95
41,US,149,SEA,PHX,3,315,166
42,US,1640,MCO,CLT,3,315,97
43,US,908,TPA,CLT,3,315,96
44,HA,106,HNL,OGG,3,317,36
45,9E,3854,DLH,MSP,3,320,58
46,DL,1276,MSP,ATL,3,320,158
47,OO,4651,FAR,MSP,3,320,62
48,CO,1585,MFE,IAH,3,325,64
49,CO,222,MSY,IAH,3,325,70
50,EV,4966,VPS,ATL,3,325,69
51,US,1521,BWI,CLT,3,325,83
52,XE,2827,MAF,IAH,3,325,85
53,OO,4719,LWS,SLC,3,328,87
54,9E,3702,RST,MSP,3,330,50
55,9E,3775,ALB,DTW,3,330,120
56,9E,3886,DSM,ATL,3,330,135
57,AA,1711,BOS,MIA,3,330,210
58,CO,611,EWR,IAH,3,330,233
59,DL,1143,CHS,ATL,3,330,72
60,DL,1511,MSN,DTW,3,330,80
61,DL,1518,MCO,ATL,3,330,84
62,DL,1698,JAX,ATL,3,330,80
63,DL,1842,SAT,ATL,3,330,142
64,DL,1972,TPA,ATL,3,330,85
65,DL,2054,PNS,ATL,3,330,75
66,DL,2112,BHM,ATL,3,330,58
67,DL,2306,LIT,ATL,3,330,97
68,DL,2711,SAV,ATL,3,330,65
69,DL,2995,BNA,ATL,3,330,67
70,EV,4940,OMA,ATL,3,330,147
71,EV,5014,ICT,ATL,3,330,132
72,EV,5044,ECP,ATL,3,330,68
73,EV,5117,DHN,ATL,3,330,70
74,EV,5393,MGM,ATL,3,330,57
75,EV,5532,CAE,ATL,3,330,64
76,EV,7108,PWM,IAD,3,330,114
77,OO,6917,ACV,SMF,3,330,65
78,OO,7781,EKO,SLC,3,330,70
79,US,1289,BOS,PHL,3,330,84
80,US,1420,PHL,CLT,3,330,102
81,US,1732,ATL,CLT,3,330,68
82,US,347,PDX,PHX,3,330,148
83,US,913,RIC,CLT,3,330,72
84,XE,2263,BTR,IAH,3,330,72
85,XE,3024,HRL,IAH,3,330,70
86,YV,2605,MYR,CLT,3,330,62
87,HA,103,HNL,LIH,3,331,35
88,UA,576,SEA,DEN,3,331,159
89,OO,6644,TUS,DEN,3,333,112
90,YV,7294,SBN,ORD,3,334,46
91,9E,3661,CAK,DTW,3,335,76
92,9E,3725,TVC,DTW,3,335,75
93,9E,3804,CLE,ATL,3,335,128
94,AA,674,ORD,MIA,3,335,185
95,B6,728,BQN,JFK,3,335,231
96,CO,463,ORD,IAH,3,335,164
97,OH,6423,DAY,DTW,3,335,75
98,OO,6698,MFR,PDX,3,335,74
99,XE,2865,MKE,IAH,3,335,174
100,EV,7101,BTV,IAD,3,336,110
101,9E,3998,TLH,ATL,3,338,68
102,9E,4196,TYS,ATL,3,340,57
103,CO,214,DFW,IAH,3,340,59
104,DL,2123,BOS,DTW,3,340,144
105,DL,2597,RIC,ATL,3,340,109
106,DL,2626,FLL,ATL,3,340,118
107,DL,684,AUS,ATL,3,340,134
108,EV,5583,CHA,ATL,3,340,47
109,MQ,4563,CMH,LGA,3,340,100
110,XE,2616,LRD,IAH,3,340,66
111,XE,3006,BRO,IAH,3,340,70
112,XE,3015,CRP,IAH,3,340,59
113,XE,5970,LAN,ORD,3,340,71
114,9E,3659,ALB,ATL,3,345,183
115,9E,3862,SAT,MEM,3,345,119
116,9E,3949,PVD,DTW,3,345,135
117,9E,4143,FWA,DTW,3,345,59
118,AA,1141,JFK,MIA,3,345,190
119,AA,1297,DFW,MIA,3,345,160
120,AA,2320,DFW,ORD,3,345,140
121,CO,1677,PHL,IAH,3,345,219
122,CO,1727,BWI,IAH,3,345,208
123,CO,240,AUS,IAH,3,345,55
124,CO,278,SAT,IAH,3,345,54
125,CO,633,LGA,IAH,3,345,235
126,DL,1095,OKC,ATL,3,345,127
127,DL,1112,PIT,ATL,3,345,131
128,DL,1506,LAX,DTW,3,345,270
129,DL,1580,SFO,DTW,3,345,270
130,DL,2320,PBI,ATL,3,345,113
131,DL,2481,ORF,ATL,3,345,120
132,DL,2710,DFW,ATL,3,345,132
133,DL,2939,DCA,ATL,3,345,120
134,EV,5142,AEX,ATL,3,345,119
135,EV,5218,SYR,ATL,3,345,158
136,EV,5233,BTR,ATL,3,345,97
137,EV,5362,SHV,ATL,3,345,123
138,EV,5501,VLD,ATL,3,345,62
139,OH,6264,BDL,CVG,3,345,133
140,OH,6549,MFE,MEM,3,345,118
141,OO,6407,FAT,SFO,3,345,45
142,OO,6647,BZN,DEN,3,345,107
143,OO,6925,PHX,LAX,3,345,85
144,OO,6964,RDM,PDX,3,345,58
145,US,1423,DCA,CLT,3,345,85
146,XE,2919,LFT,IAH,3,345,58
147,XE,5951,CAK,ORD,3,345,95
148,OO,6480,IPL,YUM,3,346,34
149,OO,6843,EAU,CWA,3,346,32
150,UA,756,SFO,DEN,3,348,158
151,OO,3099,OMA,MKE,3,349,81
152,9E,3718,ERI,DTW,3,350,65
153,B6,107,BUF,JFK,3,350,83
154,DL,1248,IAH,ATL,3,350,130
155,DL,1985,DAY,ATL,3,350,114
156,DL,2387,MKE,ATL,3,350,129
157,DL,2405,PHL,DTW,3,350,115
158,DL,734,MCI,ATL,3,350,129
159,EV,5165,AGS,ATL,3,350,60
160,FL,331,PHL,ATL,3,350,145
161,MQ,2734,ABI,DFW,3,350,50
162,MQ,2796,GRR,DFW,3,350,175
163,MQ,3014,FAT,LAX,3,350,65
164,MQ,3332,LBB,DFW,3,350,70
165,MQ,3632,CLT,MIA,3,350,120
166,MQ,3781,LIT,ORD,3,350,105
167,MQ,3842,MSP,ORD,3,350,95
168,MQ,3892,PHL,ORD,3,350,140
169,MQ,4013,LEX,ORD,3,350,95
170,OH,6498,ORD,ATL,3,350,128
171,OH,6629,GRR,DTW,3,350,61
172,9E,4391,MBS,DTW,3,351,59
173,HA,218,HNL,KOA,3,352,41
174,OO,6921,MOD,SFO,3,352,38
175,9E,3935,EWR,DTW,3,355,130
176,9E,3955,LBB,MEM,3,355,119
177,9E,4200,TYS,CVG,3,355,64
178,9E,4274,AMA,MEM,3,355,120
